number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_max_iter,params_n_estimators,params_n_states,params_reg_alpha,params_reg_lambda,params_subsample,params_tol,state
38,0.0,2025-09-25 12:43:16.277491,2025-09-25 12:43:16.319731,0 days 00:00:00.042240,0.8588349154934625,0.04218729462902054,12,78,272,4,6.97165810520577,4.619140799070625,0.9903656703775232,0.00178395895883307,COMPLETE
39,0.0,2025-09-25 12:43:16.336888,2025-09-25 12:43:16.379892,0 days 00:00:00.043004,0.6041790936033968,0.028460707445997244,6,93,165,2,9.38640842608137,1.6502428314648303,0.8259892643053965,2.043337359803274e-05,COMPLETE
40,0.0,2025-09-25 12:43:16.395511,2025-09-25 12:43:16.438871,0 days 00:00:00.043360,0.8890253031487925,0.01924093924610803,5,86,468,6,1.05238609897431,2.580672465723815,0.9640160150363126,0.0005928170270208432,COMPLETE
41,0.0,2025-09-25 12:43:16.458152,2025-09-25 12:43:16.501411,0 days 00:00:00.043259,0.8163108728836685,0.011683312492641817,9,68,411,2,6.376140242933288,0.9090216962859783,0.7259641432798984,1.1445950055762374e-06,COMPLETE
42,0.0,2025-09-25 12:43:16.518500,2025-09-25 12:43:16.566038,0 days 00:00:00.047538,0.7610426305105509,0.02353664668592369,10,96,450,2,5.615706907021569,1.8079527043439245,0.7630570841254215,3.633822105533197e-06,COMPLETE
43,0.0,2025-09-25 12:43:16.584293,2025-09-25 12:43:16.629998,0 days 00:00:00.045705,0.8478927369914243,0.014058809114395185,8,64,385,3,3.6821473269981833,3.3395816455986527,0.6908918288741401,1.3708629299265983e-06,COMPLETE
44,0.0,2025-09-25 12:43:16.645778,2025-09-25 12:43:16.687986,0 days 00:00:00.042208,0.9733663605157054,0.07355637520537885,3,90,362,3,7.244395169407619,6.875954854741924,0.8758173189075762,1.6750223788239137e-06,COMPLETE
45,0.0,2025-09-25 12:43:16.703789,2025-09-25 12:43:16.750338,0 days 00:00:00.046549,0.9298992147545384,0.010405770807150432,10,73,323,2,5.814093952920381,2.1789307848037036,0.6623162811153909,0.0002383755269264947,COMPLETE
46,0.0,2025-09-25 12:43:16.766584,2025-09-25 12:43:16.810448,0 days 00:00:00.043864,0.7258603621209319,0.018479165275118885,11,44,196,2,2.928591365969716,0.5255524135736716,0.611496013644538,0.004554998114268836,COMPLETE
47,0.0,2025-09-25 12:43:16.826572,2025-09-25 12:43:16.879980,0 days 00:00:00.053408,0.7903022431546834,0.0170077648677525,7,54,478,5,4.07093993963048,3.036988417637531,0.8038466753760298,9.727963726157993e-06,COMPLETE
48,0.0,2025-09-25 12:43:16.896563,2025-09-25 12:43:16.945877,0 days 00:00:00.049314,0.8231530336369385,0.022629851560245065,9,31,105,3,5.109518464562459,7.868194060785861,0.7357330446230298,0.0021325425492656983,COMPLETE
49,0.0,2025-09-25 12:43:16.961745,2025-09-25 12:43:17.007929,0 days 00:00:00.046184,0.7434561318919256,0.03100964920139714,3,24,246,2,4.750420946085469,1.3569523325016353,0.7113851543615083,8.408168635227102e-05,COMPLETE
